From,Entry,Entry Name,Protein names,Gene Names,Organism,Organism (ID),Length,Mass,Subcellular location [CC],Signal peptide,Helix,Beta strand,Turn,Fragment,Reviewed
I6YGS0,I6YGS0,EPHA_MYCTU,Epoxide hydrolase A (EHB) (EC 3.3.2.10) (Epoxide hydrolase EphA),ephA Rv3617,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,322,35097,,,,,,,reviewed
L7N675,L7N675,PPE18_MYCTU,PPE family protein PPE18,PPE18 Rv1196,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,391,39158,"SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000269|PubMed:19880448}. Cell surface {ECO:0000269|PubMed:19880448}.",,,,,,reviewed
L7N680,L7N680,PG62_MYCTU,PE-PGRS family protein PE_PGRS62,PE_PGRS62 Rv3812,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,504,51821,"SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000269|PubMed:23167250}.",,,,,,reviewed
L7N695,L7N695,PE05_MYCTU,PE family immunomodulator PE5,PE5 Rv0285,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,102,9566,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:26729876}. Cell envelope {ECO:0000269|PubMed:23284742}. Cell surface {ECO:0000269|PubMed:23284742}. Note=Secreted via the ESX-3 / type VII secretion system (T7SS) (PubMed:26729876). Secretion is dependent on EsxG and EsxH (PubMed:26729876). {ECO:0000269|PubMed:26729876}.,,"HELIX 11..30; /evidence=""ECO:0007829|PDB:6UUJ""; HELIX 32..36; /evidence=""ECO:0007829|PDB:6UUJ""; HELIX 45..73; /evidence=""ECO:0007829|PDB:6UUJ""","STRAND 41..44; /evidence=""ECO:0007829|PDB:6UUJ""",,,reviewed
L7N6B0,L7N6B0,LPQI_MYCTU,Beta-hexosaminidase LpqI (EC 3.2.1.52) (Beta-N-acetylglucosaminidase) (Beta-N-acetylhexosaminidase),lpqI Rv0237,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,388,39519,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:31201321}; Lipid-anchor {ECO:0000255|PROSITE-ProRule:PRU00303}; Periplasmic side {ECO:0000305|PubMed:31201321}.,"SIGNAL 1..19; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00303""","HELIX 52..58; /evidence=""ECO:0007829|PDB:6GFV""; HELIX 61..66; /evidence=""ECO:0007829|PDB:6GFV""; HELIX 76..86; /evidence=""ECO:0007829|PDB:6GFV""; HELIX 99..103; /evidence=""ECO:0007829|PDB:6GFV""; HELIX 105..112; /evidence=""ECO:0007829|PDB:6GFV""; HELIX 143..149; /evidence=""ECO:0007829|PDB:6GFV""; HELIX 152..169; /evidence=""ECO:0007829|PDB:6GFV""; HELIX 191..193; /evidence=""ECO:0007829|PDB:6GFV""; HELIX 199..215; /evidence=""ECO:0007829|PDB:6GFV""; HELIX 245..249; /evidence=""ECO:0007829|PDB:6GFV""; HELIX 254..259; /evidence=""ECO:0007829|PDB:6GFV""; HELIX 283..285; /evidence=""ECO:0007829|PDB:6GFV""; HELIX 287..295; /evidence=""ECO:0007829|PDB:6GFV""; HELIX 297..299; /evidence=""ECO:0007829|PDB:6GFV""; HELIX 317..320; /evidence=""ECO:0007829|PDB:6GFV""; HELIX 325..335; /evidence=""ECO:0007829|PDB:6GFV""; HELIX 348..360; /evidence=""ECO:0007829|PDB:6GFV""; HELIX 366..380; /evidence=""ECO:0007829|PDB:6GFV""","STRAND 69..72; /evidence=""ECO:0007829|PDB:6GFV""; STRAND 89..93; /evidence=""ECO:0007829|PDB:6GFV""; STRAND 119..122; /evidence=""ECO:0007829|PDB:6GFV""; STRAND 124..126; /evidence=""ECO:0007829|PDB:6GFV""; STRAND 188..190; /evidence=""ECO:0007829|PDB:6GFV""; STRAND 219..225; /evidence=""ECO:0007829|PDB:6GFV""; STRAND 262..264; /evidence=""ECO:0007829|PDB:6GFV""; STRAND 266..269; /evidence=""ECO:0007829|PDB:6GFV""; STRAND 271..273; /evidence=""ECO:0007829|PDB:6GFV""; STRAND 308..310; /evidence=""ECO:0007829|PDB:6GFV""; STRAND 313..315; /evidence=""ECO:0007829|PDB:6GFV""; STRAND 338..343; /evidence=""ECO:0007829|PDB:6GFV""","TURN 131..137; /evidence=""ECO:0007829|PDB:6GFV""; TURN 235..237; /evidence=""ECO:0007829|PDB:6GFV""; TURN 250..253; /evidence=""ECO:0007829|PDB:6GFV""; TURN 275..277; /evidence=""ECO:0007829|PDB:6GFV""",,reviewed
O05461,O05461,MYCP1_MYCTU,Mycosin-1 (EC 3.4.21.-) (MycP1 protease),mycP1 Rv3883c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,446,45118,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10974545, ECO:0000269|PubMed:12366866}; Single-pass membrane protein {ECO:0000255}. Note=Cell wall-associated. {ECO:0000269|PubMed:10974545, ECO:0000269|PubMed:12366866}.","SIGNAL 1..21; /evidence=""ECO:0000255""",,,,,reviewed
O05877,O05877,PK21_MYCTU,GDP-polyphosphate phosphotransferase (EC 2.7.4.-) (Polyphosphate kinase PPK2),ppk2 Rv3232c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,295,34124,,,,,,,reviewed
O06159,O06159,BKDC_MYCTU,Dihydrolipoyllysine-residue acyltransferase component of branched-chain alpha-ketoacid dehydrogenase complex (EC 2.3.1.168) (Branched-chain alpha-ketoacid dehydrogenase complex component E2) (BCKADH E2) (Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase),bkdC pdhC Rv2495c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,393,41061,,,"HELIX 172..187; /evidence=""ECO:0007829|PDB:6ZZN""; HELIX 200..209; /evidence=""ECO:0007829|PDB:6ZZN""; HELIX 218..231; /evidence=""ECO:0007829|PDB:6ZZN""; HELIX 234..236; /evidence=""ECO:0007829|PDB:6ZZN""; HELIX 275..277; /evidence=""ECO:0007829|PDB:6ZZN""; HELIX 280..296; /evidence=""ECO:0007829|PDB:6ZZN""; HELIX 301..304; /evidence=""ECO:0007829|PDB:6ZZN""; HELIX 314..317; /evidence=""ECO:0007829|PDB:6ZZN""; HELIX 369..384; /evidence=""ECO:0007829|PDB:6ZZN""; HELIX 386..392; /evidence=""ECO:0007829|PDB:6ZZN""","STRAND 190..198; /evidence=""ECO:0007829|PDB:6ZZN""; STRAND 237..241; /evidence=""ECO:0007829|PDB:6ZZN""; STRAND 248..251; /evidence=""ECO:0007829|PDB:6ZZN""; STRAND 257..259; /evidence=""ECO:0007829|PDB:6ZZN""; STRAND 261..263; /evidence=""ECO:0007829|PDB:6ZZN""; STRAND 266..268; /evidence=""ECO:0007829|PDB:6ZZN""; STRAND 308..312; /evidence=""ECO:0007829|PDB:6ZZN""; STRAND 331..336; /evidence=""ECO:0007829|PDB:6ZZN""; STRAND 340..346; /evidence=""ECO:0007829|PDB:6ZZN""; STRAND 349..363; /evidence=""ECO:0007829|PDB:6ZZN""","TURN 210..212; /evidence=""ECO:0007829|PDB:6ZZN""; TURN 243..245; /evidence=""ECO:0007829|PDB:3L60""; TURN 364..366; /evidence=""ECO:0007829|PDB:6ZZN""",,reviewed
O06342,O06342,Y3479_MYCTU,Uncharacterized membrane protein Rv3479,Rv3479,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,1082,115605,SUBCELLULAR LOCATION: Cell membrane {ECO:0000255}; Multi-pass membrane protein {ECO:0000255}.,,,,,,reviewed
O06417,O06417,FAC8_MYCTU,Medium/long-chain-fatty-acid--CoA ligase FadD8 (EC 6.2.1.2) (EC 6.2.1.3) (FACL8),fadD8 Rv0551c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,571,61066,,,,,,,reviewed
O07226,O07226,Y299_MYCTU,Toxin Rv0299,Rv0299,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,100,10442,,,,,,,reviewed
O32913,O32913,MASZ_MYCLE,Malate synthase G (EC 2.3.3.9),glcB ML2069 MLCB1788.27,Mycobacterium leprae (strain TN),272631,731,80142,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00641}.,,,,,,reviewed
O33084,O33084,ESXB_MYCLE,ESAT-6-like protein EsxB,esxB ML0050 MLCB628.13c,Mycobacterium leprae (strain TN),272631,100,10964,SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P9WNK5}. Note=Probably secreted via the ESX-1 / type VII secretion system (T7SS). {ECO:0000250|UniProtKB:P9WNK5}.,,,,,,reviewed
O33192,O33192,LPRJ_MYCTU,Putative lipoprotein LprJ,lprJ Rv1690,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,127,13106,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000255, ECO:0000305|PubMed:12581360}; Single-pass membrane protein {ECO:0000255}. Note=Probably also has a lipid-anchor at the mature N-terminus. Has been suggested to have 2 transmembrane domains (PubMed:12581360), but bioinformatic evidence does not support this. {ECO:0000305}.","SIGNAL 1..34; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00303""",,,,,reviewed
O33347,O33347,RELF_MYCTU,Antitoxin RelF,relF relB2 Rv2865,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,93,10183,,,"HELIX 6..9; /evidence=""ECO:0007829|PDB:3G5O""; HELIX 13..21; /evidence=""ECO:0007829|PDB:3G5O""; HELIX 42..55; /evidence=""ECO:0007829|PDB:3G5O""; HELIX 60..73; /evidence=""ECO:0007829|PDB:3G5O""; HELIX 79..86; /evidence=""ECO:0007829|PDB:3G5O""","STRAND 1..5; /evidence=""ECO:0007829|PDB:3G5O""; STRAND 26..31; /evidence=""ECO:0007829|PDB:3G5O""; STRAND 34..41; /evidence=""ECO:0007829|PDB:3G5O""",,,reviewed
O50410,O50410,GGPPS_MYCTU,Geranylgeranyl diphosphate synthase (GGPP synthase) (GGPS) (EC 2.5.1.29),idsB Rv3383c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,350,36432,,,,,,,reviewed
O50917,O50917,DBPA_BORBU,Decorin-binding protein A,dbpA BB_A24,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31) (Borrelia burgdorferi),224326,191,21214,,"SIGNAL 1..29; /evidence=""ECO:0000255""","HELIX 31..55; /evidence=""ECO:0007829|PDB:2LQU""; HELIX 76..103; /evidence=""ECO:0007829|PDB:2LQU""; HELIX 108..129; /evidence=""ECO:0007829|PDB:2LQU""; HELIX 134..144; /evidence=""ECO:0007829|PDB:2LQU""; HELIX 150..175; /evidence=""ECO:0007829|PDB:2LQU""; HELIX 177..180; /evidence=""ECO:0007829|PDB:2LQU""","STRAND 72..74; /evidence=""ECO:0007829|PDB:2LQU""","TURN 28..30; /evidence=""ECO:0007829|PDB:2LQU""; TURN 104..106; /evidence=""ECO:0007829|PDB:2LQU""",,reviewed
O51157,O51157,GREA_BORBU,Transcription elongation factor GreA (Transcript cleavage factor GreA),greA BB_0132,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31) (Borrelia burgdorferi),224326,901,105315,,,,,,,reviewed
O51173,O51173,FLID_BORBU,Flagellar hook-associated protein 2 (HAP2) (Filament cap protein) (Flagellar cap protein),fliD BB_0149,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31) (Borrelia burgdorferi),224326,665,74718,SUBCELLULAR LOCATION: Periplasmic flagellum. Periplasm.,,,,,,reviewed
O51477,O51477,COAX_BORBU,Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase),coaX BB_0527,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31) (Borrelia burgdorferi),224326,262,29823,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01274}.,,,,,,reviewed
O51578,O51578,RECB_BORBU,RecBCD enzyme subunit RecB (EC 3.1.11.5) (EC 5.6.2.4) (DNA 3'-5' helicase subunit RecB) (Exonuclease V subunit RecB) (ExoV subunit RecB) (Helicase/nuclease RecBCD subunit RecB),recB BB_0633,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31) (Borrelia burgdorferi),224326,1169,137829,,,,,,,reviewed
O51596,O51596,SECD_BORBU,Protein translocase subunit SecD,secD BB_0652,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31) (Borrelia burgdorferi),224326,586,65028,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01463}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01463}.,,,,,,reviewed
O53203,O53203,DHE2_MYCTU,NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2) (NAD(+)-dependent glutamate dehydrogenase),gdh Rv2476c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,1624,176900,,,,,,,reviewed
O53332,O53332,HIGB3_MYCTU,Putative toxin HigB3,higB3 Rv3182 RVBD_3182 P425_03314,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,114,12692,,,,,,,reviewed
O53380,O53380,DACB1_MYCTU,"D-alanyl-D-alanine carboxypeptidase DacB1 (D,D-carboxypeptidase DacB1) (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.-)",dacB1 Rv3330,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,405,41682,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000255}.,"SIGNAL 1..32; /evidence=""ECO:0000255""","HELIX 72..75; /evidence=""ECO:0007829|PDB:4PPR""; HELIX 120..123; /evidence=""ECO:0007829|PDB:4PPR""; HELIX 124..134; /evidence=""ECO:0007829|PDB:4PPR""; HELIX 145..149; /evidence=""ECO:0007829|PDB:4PPR""; HELIX 165..174; /evidence=""ECO:0007829|PDB:4PPR""; HELIX 178..187; /evidence=""ECO:0007829|PDB:4PPR""; HELIX 191..204; /evidence=""ECO:0007829|PDB:4PPR""; HELIX 227..238; /evidence=""ECO:0007829|PDB:4PPR""; HELIX 241..247; /evidence=""ECO:0007829|PDB:4PPR""; HELIX 270..274; /evidence=""ECO:0007829|PDB:4PPR""; HELIX 318..331; /evidence=""ECO:0007829|PDB:4PPR""; HELIX 346..349; /evidence=""ECO:0007829|PDB:4PPR""","STRAND 77..81; /evidence=""ECO:0007829|PDB:4PPR""; STRAND 95..101; /evidence=""ECO:0007829|PDB:4PPR""; STRAND 106..112; /evidence=""ECO:0007829|PDB:4PPR""; STRAND 140..142; /evidence=""ECO:0007829|PDB:4PPR""; STRAND 150..152; /evidence=""ECO:0007829|PDB:4PPR""; STRAND 162..164; /evidence=""ECO:0007829|PDB:4PPR""; STRAND 250..254; /evidence=""ECO:0007829|PDB:4PPR""; STRAND 263..266; /evidence=""ECO:0007829|PDB:4PPR""; STRAND 278..286; /evidence=""ECO:0007829|PDB:4PPR""; STRAND 290..299; /evidence=""ECO:0007829|PDB:4PPR""; STRAND 302..311; /evidence=""ECO:0007829|PDB:4PPR""; STRAND 338..340; /evidence=""ECO:0007829|PDB:4PPR""","TURN 102..104; /evidence=""ECO:0007829|PDB:4PPR""; TURN 287..289; /evidence=""ECO:0007829|PDB:4PPR""",,reviewed
O53478,O53478,HTHAR_MYCTU,HTH-type transcriptional regulator Rv2034,Rv2034,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,107,11856,,,,,,,reviewed
O53493,O53493,PPMNT_MYCTU,Bifunctional apolipoprotein N-acyltransferase/polyprenol monophosphomannose synthase [Includes: Apolipoprotein N-acyltransferase (ALP N-acyltransferase) (EC 2.3.1.269); Polyprenol monophosphomannose synthase (PPM synthase) (Polyprenol-P-Man synthase) (Ppm1) (EC 2.4.1.-) (Dolichol-phosphate mannose synthase) (EC 2.4.1.83)],ppm1 lnt Rv2051c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),83332,874,93824,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12427759}; Multi-pass membrane protein {ECO:0000255}.,,,,,,reviewed
